feature_family,task,m,r_multiplier,accuracy,f1_macro,f1_weighted,std_accuracy,wavelet,level,n,window_size_sec,method,min_window,threshold,multiscale,order,delay,window,nperseg,overlap_ratio
fuzzen,five,2.0,0.1,0.39,0.388270301598289,0.388270301598289,0.0340587727318528,,,3.0,,,,,,,,,,
fuzzen,five,2.0,0.2,0.388,0.3842149620924099,0.3842149620924099,0.0487442304278157,,,1.0,,,,,,,,,,
fuzzen,five,2.0,0.2,0.392,0.3816943777609868,0.3816943777609868,0.0479165942028437,,,2.0,,,,,,,,,,
fuzzen,five,2.0,0.2,0.412,0.4086825858130304,0.4086825858130304,0.0116619037896905,,,3.0,,,,,,,,,,
fuzzen,five,2.0,0.3,0.392,0.3864196358975274,0.3864196358975274,0.0116619037896906,,,1.0,,,,,,,,,,
fuzzen,five,2.0,0.3,0.388,0.378587243558274,0.3785872435582741,0.0655438784326957,,,2.0,,,,,,,,,,
fuzzen,five,2.0,0.3,0.414,0.411601308540409,0.411601308540409,0.0319999999999999,,,3.0,,,,,,,,,,
fuzzen,five,3.0,0.1,0.416,0.4073490395025025,0.4073490395025025,0.0449888875168079,,,1.0,,,,,,,,,,
fuzzen,five,3.0,0.1,0.428,0.4211116880433939,0.4211116880433939,0.027129319932501,,,2.0,,,,,,,,,,
fuzzen,five,3.0,0.1,0.37,0.3623518774306018,0.3623518774306017,0.0236643191323984,,,3.0,,,,,,,,,,
fuzzen,five,3.0,0.2,0.458,0.4505735837357912,0.4505735837357912,0.0348711915483253,,,1.0,,,,,,,,,,
fuzzen,five,3.0,0.2,0.4359999999999999,0.430581827407279,0.4305818274072791,0.0571314274283428,,,2.0,,,,,,,,,,
fuzzen,five,3.0,0.2,0.368,0.3603628327025016,0.3603628327025016,0.0324961536185438,,,3.0,,,,,,,,,,
fuzzen,five,3.0,0.3,0.474,0.4716151961364915,0.4716151961364916,0.0361109401705355,,,1.0,,,,,,,,,,
fuzzen,five,3.0,0.3,0.438,0.4329301610502584,0.4329301610502584,0.0448998886412873,,,2.0,,,,,,,,,,
fuzzen,five,3.0,0.3,0.356,0.349338510331986,0.349338510331986,0.0440908153700972,,,3.0,,,,,,,,,,
fuzzen,ternary,1.0,0.1,0.728,0.650238573939885,0.7144857189272923,0.036,,,1.0,,,,,,,,,,
fuzzen,ternary,1.0,0.1,0.734,0.7032631629804984,0.7296793131048215,0.0417612260356421,,,2.0,,,,,,,,,,
fuzzen,ternary,1.0,0.1,0.754,0.7362886183934637,0.7522203386039378,0.0546260011349906,,,3.0,,,,,,,,,,
fuzzen,ternary,1.0,0.2,0.7100000000000001,0.6285259292925678,0.6971364015266563,0.035213633723318,,,1.0,,,,,,,,,,
fuzzen,ternary,1.0,0.2,0.74,0.7069332595159047,0.7334108205099948,0.0447213595499957,,,2.0,,,,,,,,,,
fuzzen,ternary,1.0,0.2,0.766,0.7498596659701731,0.7641908113175375,0.0484148737476408,,,3.0,,,,,,,,,,
fuzzen,ternary,1.0,0.3,0.6980000000000001,0.6154569863890058,0.6862704160204183,0.0299332590941915,,,1.0,,,,,,,,,,
fuzzen,ternary,1.0,0.3,0.74,0.7091780520341373,0.7358243952516975,0.0540370243444251,,,2.0,,,,,,,,,,
fuzzen,ternary,1.0,0.3,0.766,0.7502791273831677,0.7640681145929629,0.0422374241638857,,,3.0,,,,,,,,,,
fuzzen,ternary,2.0,0.1,0.666,0.5782138777566163,0.6463738764133978,0.0307245829914744,,,1.0,,,,,,,,,,
fuzzen,ternary,2.0,0.1,0.6519999999999999,0.5403981537637033,0.6198388793356031,0.0222710574513201,,,2.0,,,,,,,,,,
fuzzen,ternary,2.0,0.1,0.642,0.5662160141083646,0.6255725875951323,0.0503587132480567,,,3.0,,,,,,,,,,
fuzzen,ternary,2.0,0.2,0.682,0.5997747208272932,0.6670628423431927,0.0342928563989644,,,1.0,,,,,,,,,,
